категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,Круг стальной конструкционный 12 мм Ст3 оцинк,Круг стальной конструкционный 12 мм Ст3 оцинк,12,102990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;ст3 оцинк;12;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк,12,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,Круг стальной конструкционный 16 мм Ст3 оцинк,Круг стальной конструкционный 16 мм Ст3 оцинк,16,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;ст3 оцинк;16;18;20;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк,16 ; 18; 20,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк К,Круг стальной конструкционный 8 мм Ст3 оцинк К,Круг стальной конструкционный 8 мм Ст3 оцинк К,8,101250,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;ст3 оцинк к;8;12;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк К,8 ; 12,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк оцинк,Круг стальной конструкционный 10 мм Ст3 оцинк оцинк,Круг стальной конструкционный 10 мм Ст3 оцинк оцинк,10,104990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;ст3 оцинк оцинк;10;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк оцинк,10,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 16 мм 09Г2С,Круг стальной конструкционный 16 мм 09Г2С,16,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;16;20;22;24;25;28;30;32;36;45;48;50;56;65;75;80;круг;стальной;конструкционный;мм,09Г2С,16 ; 20; 22; 24; 25; 28; 30; 32; 36; 45; 48; 50; 56; 65; 75; 80,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 85 мм 09Г2С,Круг стальной конструкционный 85 мм 09Г2С,85,54990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;85;90;100;круг;стальной;конструкционный;мм,09Г2С,85 ; 90; 100,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 105 мм 09Г2С,Круг стальной конструкционный 105 мм 09Г2С,105,58590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;105;110;120;130;150;160;круг;стальной;конструкционный;мм,09Г2С,105 ; 110; 120; 130; 150; 160,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 170 мм 09Г2С,Круг стальной конструкционный 170 мм 09Г2С,170,64590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;170;180;круг;стальной;конструкционный;мм,09Г2С,170 ; 180,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 190 мм 09Г2С,Круг стальной конструкционный 190 мм 09Г2С,190,67990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;190;200;круг;стальной;конструкционный;мм,09Г2С,190 ; 200,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 210 мм 09Г2С,Круг стальной конструкционный 210 мм 09Г2С,210,74990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;210;220;круг;стальной;конструкционный;мм,09Г2С,210 ; 220,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 240 мм 09Г2С,Круг стальной конструкционный 240 мм 09Г2С,240,78990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;240;250;круг;стальной;конструкционный;мм,09Г2С,240 ; 250,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 260 мм 09Г2С,Круг стальной конструкционный 260 мм 09Г2С,260,87990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;260;круг;стальной;конструкционный;мм,09Г2С,260,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 270 мм 09Г2С,Круг стальной конструкционный 270 мм 09Г2С,270,88990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;270;круг;стальной;конструкционный;мм,09Г2С,270,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 280 мм 09Г2С,Круг стальной конструкционный 280 мм 09Г2С,280,94990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;09г2с;280;290;круг;стальной;конструкционный;мм,09Г2С,280 ; 290,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 30 мм 18ХГТ,Круг стальной конструкционный 30 мм 18ХГТ,30,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;30;36;40;42;50;60;70;80;круг;стальной;конструкционный;мм,18ХГТ,30 ; 36; 40; 42; 50; 60; 70; 80,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 100 мм 18ХГТ,Круг стальной конструкционный 100 мм 18ХГТ,100,59990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;100;круг;стальной;конструкционный;мм,18ХГТ,100,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 110 мм 18ХГТ,Круг стальной конструкционный 110 мм 18ХГТ,110,63490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;110;130;140;150;160;круг;стальной;конструкционный;мм,18ХГТ,110 ; 130; 140; 150; 160,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 200 мм 18ХГТ,Круг стальной конструкционный 200 мм 18ХГТ,200,75990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;200;круг;стальной;конструкционный;мм,18ХГТ,200,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 210 мм 18ХГТ,Круг стальной конструкционный 210 мм 18ХГТ,210,86990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;210;220;230;240;250;круг;стальной;конструкционный;мм,18ХГТ,210 ; 220; 230; 240; 250,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 270 мм 18ХГТ,Круг стальной конструкционный 270 мм 18ХГТ,270,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;270;280;290;круг;стальной;конструкционный;мм,18ХГТ,270 ; 280; 290,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,Круг стальной конструкционный 300 мм 18ХГТ,Круг стальной конструкционный 300 мм 18ХГТ,300,119990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;18хгт;300;круг;стальной;конструкционный;мм,18ХГТ,300,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,Круг стальной конструкционный 20 мм 20Х,Круг стальной конструкционный 20 мм 20Х,20,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;20х;20;25;30;34;36;40;50;56;60;65;70;75;80;круг;стальной;конструкционный;мм,20Х,20 ; 25; 30; 34; 36; 40; 50; 56; 60; 65; 70; 75; 80,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,Круг стальной конструкционный 90 мм 20Х,Круг стальной конструкционный 90 мм 20Х,90,58990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;20х;90;100;110;120;130;140;150;160;170;180;круг;стальной;конструкционный;мм,20Х,90 ; 100; 110; 120; 130; 140; 150; 160; 170; 180,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,Круг стальной конструкционный 210 мм 20Х,Круг стальной конструкционный 210 мм 20Х,210,73990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;20х;210;220;круг;стальной;конструкционный;мм,20Х,210 ; 220,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,Круг стальной конструкционный 250 мм 20Х,Круг стальной конструкционный 250 мм 20Х,250,79990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;20х;250;круг;стальной;конструкционный;мм,20Х,250,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,Круг стальной конструкционный 260 мм 20Х,Круг стальной конструкционный 260 мм 20Х,260,94990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;20х;260;270;280;круг;стальной;конструкционный;мм,20Х,260 ; 270; 280,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 16 мм 30ХГСА,Круг стальной конструкционный 16 мм 30ХГСА,16,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;16;20;25;30;36;40;45;50;56;60;65;70;75;80;круг;стальной;конструкционный;мм,30ХГСА,16 ; 20; 25; 30; 36; 40; 45; 50; 56; 60; 65; 70; 75; 80,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 90 мм 30ХГСА,Круг стальной конструкционный 90 мм 30ХГСА,90,59990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;90;95;100;круг;стальной;конструкционный;мм,30ХГСА,90 ; 95; 100,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 110 мм 30ХГСА,Круг стальной конструкционный 110 мм 30ХГСА,110,63990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;110;120;130;140;150;160;круг;стальной;конструкционный;мм,30ХГСА,110 ; 120; 130; 140; 150; 160,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 170 мм 30ХГСА,Круг стальной конструкционный 170 мм 30ХГСА,170,70990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;170;180;круг;стальной;конструкционный;мм,30ХГСА,170 ; 180,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 220 мм 30ХГСА,Круг стальной конструкционный 220 мм 30ХГСА,220,86990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;220;230;250;круг;стальной;конструкционный;мм,30ХГСА,220 ; 230; 250,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 260 мм 30ХГСА,Круг стальной конструкционный 260 мм 30ХГСА,260,92990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;260;круг;стальной;конструкционный;мм,30ХГСА,260,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,Круг стальной конструкционный 280 мм 30ХГСА,Круг стальной конструкционный 280 мм 30ХГСА,280,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;30хгса;280;круг;стальной;конструкционный;мм,30ХГСА,280,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,Круг стальной конструкционный 60 мм 38Х2МЮА,Круг стальной конструкционный 60 мм 38Х2МЮА,60,115990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;38х2мюа;60;70;80;90;100;круг;стальной;конструкционный;мм,38Х2МЮА,60 ; 70; 80; 90; 100,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,Круг стальной конструкционный 110 мм 38Х2МЮА,Круг стальной конструкционный 110 мм 38Х2МЮА,110,119990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;38х2мюа;110;120;круг;стальной;конструкционный;мм,38Х2МЮА,110 ; 120,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,Круг стальной конструкционный 140 мм 38Х2МЮА,Круг стальной конструкционный 140 мм 38Х2МЮА,140,121990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;38х2мюа;140;150;160;170;180;круг;стальной;конструкционный;мм,38Х2МЮА,140 ; 150; 160; 170; 180,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,Круг стальной конструкционный 190 мм 38Х2МЮА,Круг стальной конструкционный 190 мм 38Х2МЮА,190,124990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;38х2мюа;190;200;210;220;круг;стальной;конструкционный;мм,38Х2МЮА,190 ; 200; 210; 220,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,Круг стальной конструкционный 250 мм 38Х2МЮА,Круг стальной конструкционный 250 мм 38Х2МЮА,250,129990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;38х2мюа;250;круг;стальной;конструкционный;мм,38Х2МЮА,250,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,Круг стальной конструкционный 12 мм 40Х,Круг стальной конструкционный 12 мм 40Х,12,59990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;40х;12;круг;стальной;конструкционный;мм,40Х,12,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,Круг стальной конструкционный 14 мм 40Х,Круг стальной конструкционный 14 мм 40Х,14,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;40х;14;16;18;20;22;24;26;30;32;34;35;36;38;40;42;45;48;50;52;60;65;70;75;80;круг;стальной;конструкционный;мм,40Х,14 ; 16; 18; 20; 22; 24; 26; 30; 32; 34; 35; 36; 38; 40; 42; 45; 48; 50; 52; 60; 65; 70; 75; 80,ГОСТ 2590-2006,т
Качественные и специальные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,Круг стальной конструкционный 85 мм 40Х,Круг стальной конструкционный 85 мм 40Х,85,54990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Качественные_и_специальные_стали/СТАЛЬ_СОРТ_Х_Т_КАЛИБРОВКА_КРУГ/круг_стальной.webp,листовой прокат;сталь сорт констр круг;40х;85;90;95;100;круг;стальной;конструкционный;мм,40Х,85 ; 90; 95; 100,ГОСТ 2590-2006,т
